file	line	text
logo_audit_refs.json	240	"""text"": "".nav-logo:hover .nl-y{transform:translateY(-4px)}"""
logo_audit_refs.json	245	"""text"": "".nav-logo:hover .nl-t{transform:translateX(4px)}"""
logo_audit_refs.json	250	"""text"": "".nav-logo{animation:logo-in .8s .9s both}"""
logo_audit_refs.json	260	"""text"": ""<img src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""VORQA\"">"""
logo_audit_refs.json	265	"""text"": ""<a href=\""#\"" class=\""nav-logo\"">"""
logo_audit_refs.json	270	"""text"": ""<img class=\""nav-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	275	"""text"": ""<div class=\""wwd-mark-wrap\"" aria-hidden=\""true\""><img class=\""wwd-mark\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""\""></div>"""
logo_audit_refs.json	280	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	285	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	300	"""text"": ""<link rel=\""icon\"" href=\""/favicon.svg?v=2\"" type=\""image/svg+xml\"">"""
logo_audit_refs.json	305	"""text"": ""<link rel=\""icon\"" href=\""/favicon-32.png?v=2\"" sizes=\""32x32\"">"""
logo_audit_refs.json	310	"""text"": ""<link rel=\""apple-touch-icon\"" href=\""/apple-touch-icon.png?v=2\"">"""
logo_audit_refs.json	320	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none;cursor:pointer}"""
logo_audit_refs.json	325	"""text"": "".nav-logo-img{display:block;height:52px;width:auto}"""
logo_audit_refs.json	330	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	335	"""text"": "".nav-logo:hover .nl-z{transform:translateX(-4px)}"""
logo_audit_refs.json	340	"""text"": "".nav-logo:hover .nl-y{transform:translateY(-4px)}"""
logo_audit_refs.json	345	"""text"": "".nav-logo:hover .nl-t{transform:translateX(4px)}"""
logo_audit_refs.json	350	"""text"": "".nav-logo{animation:logo-in .8s .9s both}"""
logo_audit_refs.json	360	"""text"": ""<img src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""VORQA\"">"""
logo_audit_refs.json	365	"""text"": ""<a href=\""#\"" class=\""nav-logo\"">"""
logo_audit_refs.json	370	"""text"": ""<img class=\""nav-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	375	"""text"": ""<div class=\""wwd-mark-wrap\"" aria-hidden=\""true\""><img class=\""wwd-mark\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""\""></div>"""
logo_audit_refs.json	380	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	383	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	385	"""text"": "".foot-logo{display:flex;align-items:center;gap:14px}"""
logo_audit_refs.json	388	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	390	"""text"": ""<img src=\""vorqa_amblem_white.png\"" alt=\""Vorqa Global Supply emblem\"" style=\""height:80px;width:auto;display:block\"">"""
logo_audit_refs.json	393	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	395	"""text"": ""<img src=\""vorqa_logo_white.png\"" alt=\""Vorqa Global Supply logo\"" style=\""width:100%;max-width:340px;height:auto;display:block\"">"""
logo_audit_refs.json	398	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	400	"""text"": ""<img src=\""vorqa_amblem_white.png\"" alt=\""Vorqa Global Supply emblem\"" style=\""width:104px;height:auto;display:block\"">"""
logo_audit_refs.json	403	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	405	"""text"": ""<span class=\""card-spec\"">Avatar · favicon</span>"""
logo_audit_refs.json	408	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	410	"""text"": ""<img src=\""vorqa_amblem_white.png\"" alt=\""Vorqa Global Supply emblem\"" style=\""width:44px;height:auto;display:block\"">"""
logo_audit_refs.json	413	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	415	"""text"": ""<img src=\""vorqa_logo_white.png\"" alt=\""Vorqa Global Supply logo\"" style=\""height:56px;width:auto;display:block\"">"""
logo_audit_refs.json	418	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	420	"""text"": ""<img src=\""vorqa_logo_transparent.png\"" alt=\""Vorqa Global Supply logo\"" style=\""height:56px;width:auto;display:block\"">"""
logo_audit_refs.json	423	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	425	"""text"": ""<img src=\""vorqa_logo_white.png\"" alt=\""Vorqa Global Supply logo\"" style=\""height:56px;width:auto;display:block\"">"""
logo_audit_refs.json	428	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	430	"""text"": ""<img src=\""vorqa_logo_transparent.png\"" alt=\""Vorqa Global Supply logo\"" style=\""height:56px;width:auto;display:block\"">"""
logo_audit_refs.json	433	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	435	"""text"": ""<img src=\""vorqa_logo_white.png\"" alt=\""Vorqa Global Supply logo\"" style=\""width:100%;max-width:200px;height:auto;display:block\"">"""
logo_audit_refs.json	438	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	440	"""text"": ""<img src=\""vorqa_amblem_white.png\"" alt=\""Vorqa Global Supply emblem\"" style=\""height:24px;width:auto;display:block\"">"""
logo_audit_refs.json	443	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	445	"""text"": ""<p class=\""min-size-use\"">Digital · favicon</p>"""
logo_audit_refs.json	448	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	450	"""text"": ""<img src=\""vorqa_logo_white.png\"" alt=\""Vorqa Global Supply logo\"" style=\""width:44px;height:auto;display:block\"">"""
logo_audit_refs.json	453	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	455	"""text"": ""<img src=\""vorqa_logo_white.png\"" alt=\""Vorqa Global Supply logo\"" style=\""width:72px;height:auto;display:block\"">"""
logo_audit_refs.json	458	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	460	"""text"": ""<img src=\""vorqa_amblem_white.png\"" alt=\""Vorqa Global Supply emblem\"" style=\""height:40px;width:auto;display:block\"">"""
logo_audit_refs.json	463	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	465	"""text"": ""<img src=\""vorqa_logo_white.png\"" alt=\""Vorqa Global Supply logo\"" style=\""width:104px;height:auto;display:block;margin-bottom:12px\"">"""
logo_audit_refs.json	468	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	470	"""text"": ""<img src=\""vorqa_logo_transparent.png\"" alt=\""Vorqa Global Supply logo\"" style=\""width:104px;height:auto;display:block\"">"""
logo_audit_refs.json	473	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	475	"""text"": ""<div class=\""foot-logo\"">"""
logo_audit_refs.json	478	"""file"": ""brand_assets\\vorqa_brand-kit.html"","
logo_audit_refs.json	480	"""text"": ""<img src=\""vorqa_amblem_white.png\"" alt=\""Vorqa Global Supply emblem\"" style=\""height:34px;width:auto;display:block\"">"""
logo_audit_refs.json	485	"""text"": ""| 0.2 | Favicon seti ekle (SVG + PNG 32/180 + manifest) | Konsol 404'ü; sekmede boş ikon güvensizlik verir | Konsolda 404 yok; sekmede logo |"""
logo_audit_refs.json	530	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	545	"""text"": ""<link rel=\""icon\"" href=\""/favicon.svg?v=2\"" type=\""image/svg+xml\"">"""
logo_audit_refs.json	550	"""text"": ""<link rel=\""icon\"" href=\""/favicon-32.png?v=2\"" sizes=\""32x32\"">"""
logo_audit_refs.json	555	"""text"": ""<link rel=\""apple-touch-icon\"" href=\""/apple-touch-icon.png?v=2\"">"""
logo_audit_refs.json	565	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none;cursor:pointer}"""
logo_audit_refs.json	570	"""text"": "".nav-logo-img{display:block;height:52px;width:auto}"""
logo_audit_refs.json	575	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	580	"""text"": "".nav-logo:hover .nl-z{transform:translateX(-4px)}"""
logo_audit_refs.json	585	"""text"": "".nav-logo:hover .nl-y{transform:translateY(-4px)}"""
logo_audit_refs.json	590	"""text"": "".nav-logo:hover .nl-t{transform:translateX(4px)}"""
logo_audit_refs.json	595	"""text"": "".nav-logo{animation:logo-in .8s .9s both}"""
logo_audit_refs.json	605	"""text"": ""<img src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""VORQA\"">"""
logo_audit_refs.json	610	"""text"": ""<a href=\""#\"" class=\""nav-logo\"">"""
logo_audit_refs.json	615	"""text"": ""<img class=\""nav-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	620	"""text"": ""<div class=\""wwd-mark-wrap\"" aria-hidden=\""true\""><img class=\""wwd-mark\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""\""></div>"""
logo_audit_refs.json	625	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	630	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	645	"""text"": ""<link rel=\""icon\"" href=\""/favicon.svg?v=2\"" type=\""image/svg+xml\"">"""
logo_audit_refs.json	650	"""text"": ""<link rel=\""icon\"" href=\""/favicon-32.png?v=2\"" sizes=\""32x32\"">"""
logo_audit_refs.json	655	"""text"": ""<link rel=\""apple-touch-icon\"" href=\""/apple-touch-icon.png?v=2\"">"""
logo_audit_refs.json	665	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none;cursor:pointer}"""
logo_audit_refs.json	670	"""text"": "".nav-logo-img{display:block;height:52px;width:auto}"""
logo_audit_refs.json	675	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	680	"""text"": "".nav-logo:hover .nl-z{transform:translateX(-4px)}"""
logo_audit_refs.json	685	"""text"": "".nav-logo:hover .nl-y{transform:translateY(-4px)}"""
logo_audit_refs.json	690	"""text"": "".nav-logo:hover .nl-t{transform:translateX(4px)}"""
logo_audit_refs.json	695	"""text"": "".nav-logo{animation:logo-in .8s .9s both}"""
logo_audit_refs.json	705	"""text"": ""<img src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""VORQA\"">"""
logo_audit_refs.json	710	"""text"": ""<a href=\""#\"" class=\""nav-logo\"">"""
logo_audit_refs.json	715	"""text"": ""<img class=\""nav-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	720	"""text"": ""<div class=\""wwd-mark-wrap\"" aria-hidden=\""true\""><img class=\""wwd-mark\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""\""></div>"""
logo_audit_refs.json	725	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	730	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	735	"""text"": ""<meta name=\""twitter:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	740	"""text"": ""{\""@context\"":\""https://schema.org\"",\""@type\"":\""BlogPosting\"",\""headline\"":\""Beton Santrali Kapasitesi Nasıl Doğru Hesaplanır? Adım Adım Metodoloji\"",\""datePublished\"":\""2026-05-10T08:00:00+03:00\"",\""author\"":{\""@type\"":\""Person\"",\""name\"":\""Mira\"",\""jobTitle\"":\""Vorqa Global AI Editörü\""},\""publisher\"":{\""@type\"":\""Organization\"",\""name\"":\""Vorqa Global\"",\""url\"":\""https://www.vorqaglobal.com\""},\""mainEntityOfPage\"":{\""@type\"":\""WebPage\"",\""@id\"":\""https://www.vorqaglobal.com/vorqa-blog/beton-santrali-kapasite-hesaplama-2026-05-10.html\""},\""image\"":\""https://www.vorqaglobal.com/og-default.png\"",\""description\"":\""Q = P / (T × η × f) formülüyle beton santrali kapasitesi hesaplama. η=0.82 Vorqa standardı, iklim ve irtifa düzeltme faktörleri. ACI 304R-00 referanslı.\""}"""
logo_audit_refs.json	745	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none}"""
logo_audit_refs.json	750	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	755	"""text"": ""<a href=\""../tr/\"" class=\""nav-logo\"">"""
logo_audit_refs.json	760	"""text"": ""<img src=\""/brand_assets/vorqa_logo_main_cropped.png\"" alt=\""Vorqa Global\"" style=\""display:block;height:40px;width:auto\"">"""
logo_audit_refs.json	765	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	770	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	775	"""text"": ""<meta name=\""twitter:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	780	"""text"": ""{\""@context\"":\""https://schema.org\"",\""@type\"":\""BlogPosting\"",\""headline\"":\""EN 1090-2 Kapsamında Çelik Yapı Toleransları ve NDT Zorunlulukları\"",\""datePublished\"":\""2026-03-20T08:00:00+03:00\"",\""author\"":{\""@type\"":\""Person\"",\""name\"":\""Mira\"",\""jobTitle\"":\""Vorqa Global AI Editörü\""},\""publisher\"":{\""@type\"":\""Organization\"",\""name\"":\""Vorqa Global\"",\""url\"":\""https://www.vorqaglobal.com\""},\""mainEntityOfPage\"":{\""@type\"":\""WebPage\"",\""@id\"":\""https://www.vorqaglobal.com/vorqa-blog/en-1090-2-celik-yapi-toleranslari-ndt-2026-03-20.html\""},\""image\"":\""https://www.vorqaglobal.com/og-default.png\"",\""description\"":\""EN 1090-2:2018 EXC1-4 yürütme sınıfları, dikeylik toleransları H/300, EN ISO 5817 kaynak seviyeleri ve zorunlu NDT muayene gereksinimleri.\""}"""
logo_audit_refs.json	785	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none}"""
logo_audit_refs.json	790	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	795	"""text"": ""<a href=\""../tr/\"" class=\""nav-logo\"">"""
logo_audit_refs.json	800	"""text"": ""<img src=\""/brand_assets/vorqa_logo_main_cropped.png\"" alt=\""Vorqa Global\"" style=\""display:block;height:40px;width:auto\"">"""
logo_audit_refs.json	805	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	810	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	815	"""text"": ""<meta name=\""twitter:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	820	"""text"": ""{\""@context\"":\""https://schema.org\"",\""@type\"":\""BlogPosting\"",\""headline\"":\""Enerji Sektöründe EPC-F Modeli ve Yapay Zeka: Geleceğin Projelerini Şekillendirmek\"",\""datePublished\"":\""2026-05-28T08:00:00+03:00\"",\""author\"":{\""@type\"":\""Person\"",\""name\"":\""Mira\"",\""jobTitle\"":\""Vorqa Global AI Editörü\""},\""publisher\"":{\""@type\"":\""Organization\"",\""name\"":\""Vorqa Global\"",\""url\"":\""https://www.vorqaglobal.com\""},\""mainEntityOfPage\"":{\""@type\"":\""WebPage\"",\""@id\"":\""https://www.vorqaglobal.com/vorqa-blog/enerji-sektorunde-epc-f-modeli-ve-yapay-zeka-gelecegin-projelerin-2026-05-28.html\""},\""image\"":\""https://www.vorqaglobal.com/og-default.png\"",\""description\"":\""EPC-F modelinin enerji ve atık-enerji dönüşüm (WtE) projelerindeki yükselişi, yapay zeka destekli proje yönetimi araçları ve tedarik zinciri risk öngörüsü üzerine teknik analiz.\""}"""
logo_audit_refs.json	825	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none}"""
logo_audit_refs.json	830	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	835	"""text"": ""<a href=\""../tr/\"" class=\""nav-logo\"">"""
logo_audit_refs.json	840	"""text"": ""<img src=\""/brand_assets/vorqa_logo_main_cropped.png\"" alt=\""Vorqa Global\"" style=\""display:block;height:40px;width:auto\"">"""
logo_audit_refs.json	845	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	850	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	855	"""text"": ""<meta name=\""twitter:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	860	"""text"": ""{\""@context\"":\""https://schema.org\"",\""@type\"":\""BlogPosting\"",\""headline\"":\""Anahtar Teslim Tesislerde EPC Yönetimi: Kazanılmış Değer ve Risk Matrisi\"",\""datePublished\"":\""2026-01-28T08:00:00+03:00\"",\""author\"":{\""@type\"":\""Person\"",\""name\"":\""Mira\"",\""jobTitle\"":\""Vorqa Global AI Editörü\""},\""publisher\"":{\""@type\"":\""Organization\"",\""name\"":\""Vorqa Global\"",\""url\"":\""https://www.vorqaglobal.com\""},\""mainEntityOfPage\"":{\""@type\"":\""WebPage\"",\""@id\"":\""https://www.vorqaglobal.com/vorqa-blog/epc-yonetimi-kazanilmis-deger-risk-2026-01-28.html\""},\""image\"":\""https://www.vorqaglobal.com/og-default.png\"",\""description\"":\""McKinsey analizi: büyük projelerin %79'u bütçeyi, %52'si takvimi aşıyor. FIDIC Sarı Kitap, EVM metrikleri (CPI/SPI) ve WBS risk kategorileri.\""}"""
logo_audit_refs.json	865	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none}"""
logo_audit_refs.json	870	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	875	"""text"": ""<a href=\""../tr/\"" class=\""nav-logo\"">"""
logo_audit_refs.json	880	"""text"": ""<img src=\""/brand_assets/vorqa_logo_main_cropped.png\"" alt=\""Vorqa Global\"" style=\""display:block;height:40px;width:auto\"">"""
logo_audit_refs.json	885	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	890	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
